N slow fast eras
1	0	0	0
2	0	0	0
4	14	10	8
8	58	22	19
16	242	50	44
32	994	115	96
64	4034	259	203
128	16258	594	420
256	65282	1371	861
512	261634	3200	1778
1024	1047554	7521	3665
2048	4192258	17918	7478
4096	16773122	43359	15249
8192	67100674	105994	31122
16384	268419074	262725	63284
32768	1073709058	656624	128849
